product_type,series,ai_coprocessor,ai_enabled,audio_feature,color,connectivity,cpu_clock,cpu_model,discount_percent,gpu_model,os,ports,ram,regular_price_sar,release_date,sale_price_sar,screen_refresh_rate_hz,screen_resolution,screen_size_inch,special_features,storage,webcam,weight_kg,product_url
Gaming Laptop,Raider,Intel AI Boost,AI Enabled,"Nahimic Sound, (2 X 2W + 4 X 2W) Speakers",Core Black,Wi-Fi/Bluetooth,5.5 GHz,Intel Core Ultra 9 285HX,15%,NVIDIA GeForce RTX 5080 (16 GB),Windows 11 Pro,HDMI 2.1 (8K@60Hz/4K@120Hz)/USB 3.2/USB-C (Thunderbolt 5/DisplayPort)/RJ-45,64 GB RAM,18999.0,2025,15999.0,UHD+ Mini-LED 120 Hz Display,3840 X 2400,"18""",Per-key RGB Backlit Keyboard,2 TB NVMe PCIe Gen 4Ã4 SSD,FHD IR Camera,3.60 kg ( 7.94 lb ),https://www.jarir.com/sa-en/msi-raider-18-hx-laptops-650224.html
Gaming Desktop CPU,MSI Vision,Intel AI Boost,AI Enabled,,Black,Wi-Fi/Bluetooth,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9 285K,9%,NVIDIA GeForce RTX 5080 (16 GB),Windows 11,HDMI/USB-A/USB-C/Thunderbolt,64 GB RAM,21999.0,,19999.0,,,,,2 TB SSD,,35.77,https://www.jarir.com/sa-en/msi-vision-x-cpu-650211.html
Gaming Laptop,Lenovo Legion,,,Harman Speakers with Nahimic Audio,Carbon Black,Wi-Fi/Bluetooth,2.2 GHz,Intel Core i9-14900HX (14th Gen),17%,NVIDIA GeForce RTX 4090 (16 GB),Windows 11 Home,HDMI/USB 3.2/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,64 GB RAM,19999.0,2023,16499.0,3.2K Mini LED 165 Hz,3200 X 2000,"16""",,2 TB PCIe NVMe M.2 SSD,FHD Webcam,2.50 kg ( 5.51 lb ),https://www.jarir.com/sa-en/lenovo-legion-9-laptops-628031.html
Gaming Laptop,MSI Vector,Intel AI Boost up to 13 TOPS,AI Enabled,"Nahimic Sound, 2 X 2W Speakers",Cosmos Grey,Wi-Fi (7)/Bluetooth (5.4),P-core: 2.7 - 5.4 GHz/E-core: 2.1 - 4.6 GHz,Intel Core Ultra 9 275HX,19%,NVIDIA GeForce RTX 5070 Ti (12 GB),Windows 11 Home,USB 3.2/USB-C/Thunderbolt 4,32 GB RAM,12999.0,2025,10499.0,QHD+ 240 Hz Display,2560 X 1600,"16""",24-Zone RGB Gaming Keyboard,1 TB PCIe 4.0 NVMe M.2 SSD,HD Webcam,2.70 kg ( 5.95 lb ),https://www.jarir.com/sa-en/msi-vector-16-hx-laptops-650249.html
Gaming Desktop CPU,MSI Infinite,Intel AI Boost,AI Enabled,,Black,Wi-Fi/Bluetooth,3.3 GHz,Intel Core Ultra 7 265K,26%,NVIDIA GeForce RTX 5070 Ti (16 GB),Windows 11,HDMI/USB-A/USB-C,32 GB RAM,14999.0,,10999.0,,,,,1 TB SSD,,29.2,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650217.html
Gaming Desktop CPU,MSI Vision,Intel AI Boost,AI Enabled,,Black,Wi-Fi/Bluetooth,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9 285K,10%,NVIDIA GeForce RTX 5090 (32 GB),Windows 11,HDMI/USB-A/USB-C/Thunderbolt,128 GB RAM,29999.0,,26999.0,,,,,2 TB SSD/2 TB HDD,,35.37,https://www.jarir.com/sa-en/msi-vision-x-cpu-650209.html
Gaming Laptop,Asus ROG Republic of Gamers,Intel AI Boost up to 13 TOPS,AI Enabled,4 Speakers with Smart Amp Technology,Off Black,Wi-Fi (7)/Bluetooth (5.4),2.7 GHz,Intel Core Ultra 9 275HX,11%,NVIDIA GeForce RTX 5080 (16 GB),Windows 11 Home,HDMI 2.1/USB 3.2/Thunderbolt 5 (DisplayPort)/RJ-45,64 GB RAM,18999.0,2025,16799.0,2.5K WQXGA Mini LED 240 Hz Display,2560 X 1600 (WQXGA),"18""","Backlit Chiclet Keyboard Per Key RGB, AI Noise Canceling",2 TB M.2 NVMe PCIe 4.0 SSD,1080P FHD IR Camera,3.30 kg ( 7.28 lb ),https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-648710.html
Gaming Laptop,MSI Titan,Intel AI Boost,AI Enabled,"Nahimic Sound, (2 X 2W + 4 X 2W) Speakers",Core Black,Wi-Fi/Bluetooth,5.5 GHz,Intel Core Ultra 9 285HX,14%,NVIDIA GeForce RTX 5090 (24 GB),Windows 11 Pro,HDMI 2.1 (8K@60Hz/4K@120Hz)/USB 3.2/USB-C (Thunderbolt 5/DisplayPort)/RJ-45,64 GB RAM,26999.0,2025,22999.0,UHD+ Mini-LED 120 Hz Display,3840 X 2400,"18""",Per-key RGB Backlit Keyboard,6 TB SSD,FHD IR Camera,3.60 kg ( 7.94 lb ),https://www.jarir.com/sa-en/msi-titan-18-hx-laptops-650220.html
Gaming Laptop,Asus ROG Republic of Gamers,Intel AI Boost up to 13 TOPS,AI Enabled,4 Speakers with Smart Amp Technology,Off Black,Wi-Fi (7)/Bluetooth (5.4),2.7 GHz,Intel Core Ultra 9 275HX,12%,NVIDIA GeForce RTX 5090 (24 GB),Windows 11 Home,HDMI 2.1/USB 3.2/Thunderbolt 5 (DisplayPort)/RJ-45,64 GB RAM,24999.0,2025,21799.0,2.5K WQXGA Mini LED 240 Hz Display,2560 X 1600 (WQXGA),"18""","Backlit Chiclet Keyboard Per Key RGB, AI Noise Canceling",2 TB + 2 TB PCIe 4.0 NVMe SSD,1080P FHD IR Camera,3.30 kg ( 7.28 lb ),https://www.jarir.com/sa-en/asus-rog-strix-g16-laptops-648711.html
Gaming Desktop CPU,Acer Predator,Intel AI Boost,AI Enabled,,Black,Wi-Fi/Bluetooth,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,Intel Core Ultra 9 285K,9%,NVIDIA GeForce RTX 5090 (32 GB),Windows 11,HDMI 2.1/DisplayPort/USB 2.0/USB 3.2/USB-C,128 GB RAM,25999.0,,23499.0,,,,,2 TB SSD,,30.69,https://www.jarir.com/sa-en/acer-predator-orion-7000-cpu-649806.html
