cpu_model,cpu_clock,gpu_model,ram,storage,regular_price_sar,sale_price_sar,discount_percent,warranty_code,url_path,os,os_arch,ai_coprocessor,ai_enabled,connectivity,ports,series,product_type,color,width_cm,height_cm,depth_cm,weight_kg,screen_size_inch,release_date,screen_refresh_rate_hz,screen_resolution,audio_feature,special_features,webcam,vr_ready,product_url,touchscreen,fingerprint_reader,network_speed
Intel Core Ultra 9,5.5 GHz,NVIDIA GeForce RTX 5090 (24 GB),64 GB RAM,6000 GBÂ ,26999,22999.0,14%,08-3RD12Y2,msi-titan-18-hx-laptops-650220.html,Windows 11 Pro,64 bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI 2.1 (8K@60Hz/4K@120Hz)/USB 3.2/USB-C (Thunderbolt 5/DisplayPort)/RJ-45,MSI Titan,Gaming Laptop,Black,40.40 cm ( 15.91 in ),32.05 cm ( 12.62 in ),30.75 cm ( 12.11 in ),5.22,"18""",2025,UHD+ Mini-LED 120 Hz Display,3840 X 2400,"Nahimic Sound, (2 X 2W + 4 X 2W) Speakers",Per-key RGB Backlit Keyboard,FHD IR Camera,VR Enabled,https://www.jarir.com/sa-en/msi-titan-18-hx-laptops-650220.html,,,
Intel Core Ultra 9,P-core: 2.7 - 5.4 GHz/E-core: 2.1 - 4.6 GHz,NVIDIA GeForce RTX 5070 Ti (12 GB),32 GB RAM,1000 GB,12999,10499.0,19%,08-3RD12Y2,msi-vector-16-hx-laptops-650249.html,Windows 11 Home,64 bit,Intel AI Boost up to 13 TOPS,AI Enabled,Wi-Fi (7)/Bluetooth (5.4),USB 3.2/USB-C/Thunderbolt 4,MSI Vector,Gaming Laptop,Grey,35.70 cm ( 14.06 in ),28.40 cm ( 11.18 in ),2.22 cm ( .87 in ),3.92,"16""",2025,QHD+ 240 Hz Display,2560 X 1600,"Nahimic Sound, 2 X 2W Speakers",24-Zone RGB Gaming Keyboard,HD Webcam,VR Enabled,https://www.jarir.com/sa-en/msi-vector-16-hx-laptops-650249.html,,,
Intel Core Ultra 7,3.3 GHz,NVIDIA GeForce RTX 5070 Ti (16 GB),32 GB RAM,1000 GB,14999,10999.0,26%,08-3RD12Y2,msi-infinite-x3-cpu-650217.html,Windows 11,64-bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI/USB-A/USB-C,MSI Infinite,Gaming Desktop CPU,Black,23.51 cm ( 9.26 in ),48.50 cm ( 1.59 ft ),48.12 cm ( 1.58 ft ),29.2,,,,,Nahimic Audio Enhancer,,,,https://www.jarir.com/sa-en/msi-infinite-x3-cpu-650217.html,,,
Intel Core Ultra 9,P-core: 3.7 - 5.5 GHz/E-core: 3.2 - 4.6 GHz,NVIDIA GeForce RTX 5090 (32 GB),128 GB RAM,4000 GB,29999,26999.0,10%,08-3RD12Y2,msi-vision-x-cpu-650209.html,Windows 11,64-bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI/USB-A/USB-C/Thunderbolt,MSI Vision,Gaming Desktop CPU,Black,44.85 cm ( 17.66 in ),32.88 cm ( 12.94 in ),28.92 cm ( 11.39 in ),35.37,,,,,Nahimic Audio Enhancer,,,,https://www.jarir.com/sa-en/msi-vision-x-cpu-650209.html,,,
Snapdragon X Plus X1P 64 100,3.4 GHz,Qualcomm Adreno GPU,16 GB RAM,1000 GB,5699,3499.0,38%,34-ASPY2,acer-swift-sf14-11-x41l-laptops-635184.html,Windows 11,64 bit,Qualcomm Hexagon NPU up to 45 TOPS,CoPilot+ PC,Wi-Fi (6E)/Bluetooth (5.0),HDMI/USB 3.2/USB-C,Acer Swift,Laptop,Silver,312.00 mm ( 12.28 in ),217.00 mm ( 8.54 in ),14.90 mm ( .59 in ),2.06,"14.5""",2024,QHD 120 Hz Display,2560 X 1600,Built-in Mic/Speakers,,QHD Webcam,,https://www.jarir.com/sa-en/acer-swift-sf14-11-x41l-laptops-635184.html,,,
Intel Core i9,2.2 - 5.8 GHz,NVIDIA GeForce RTX 4080 (12 GB),32 GB RAM,1000 GB,12499,9999.0,20%,34-ASPY2,acer-helios-ph16-72-9467-laptops-635227.html,Windows 11,64 bit,,,Wi-Fi (7)/Bluetooth (5),HDMI 2.1/USB 2.0/USB 3.1/USB-C,,Gaming Laptop,Black,380.00 mm ( 14.96 in ),226.00 mm ( 8.90 in ),21.00 mm ( .83 in ),3.0,"16""",2024,WQXGA IPS 240 Hz,2560 X 1600,,"Aero Blade 5th Gen Fans, 4 Zone RGB Keyboard",FHD Webcam,,https://www.jarir.com/sa-en/acer-helios-ph16-72-9467-laptops-635227.html,,,
Intel Core i9,2.2 GHz,NVIDIA GeForce RTX 4090 (16 GB),64 GB RAM,2000 GB,19999,16999.0,15%,26-ASP12Y2,lenovo-legion-9-laptops-628031.html,Windows 11 Home,64 bit,,,Wi-Fi/Bluetooth,HDMI/USB 3.2/USB-C (DisplayPort 1.4)/RJ-45/Audio Combo Port,Lenovo Legion,Gaming Laptop,Black,35.77 cm ( 14.08 in ),27.70 cm ( 10.91 in ),1.90 cm ( .75 in ),7.12,"16""",2023,3.2K Mini LED 165 Hz,3200 X 2000,Harman Speakers with Nahimic Audio,,FHD Webcam,VR Enabled,https://www.jarir.com/sa-en/lenovo-legion-9-laptops-628031.html,,,
Intel Core Ultra 9,5.1 GHz,Intel Arc Graphics,32 GB RAM,1000 GB,7999,4999.0,37%,08-3RD12Y2,msi-summit-13-2-in-1-laptops-650278.html,Windows 11 Home,,Intel AI Boost up to 48 TOPS,CoPilot+ PC,Wi-Fi (7)/Bluetooth (5.4),HDMI/USB/USB-C (Thunderbolt 4/DisplayPort)/Audio Combo Port,MSI Summit,2-in-1 Laptop - Convertible,Black,30.02 cm ( 11.82 in ),22.25 cm ( 8.76 in ),1.62 cm ( .64 in ),3.13,"13.3""",,FHD+ Touch Display,1920 X 1200,DTS Studio Sound; Dual Speakers,,FHD with HDR & 3D Noise Reduction+ (3DNR+),,https://www.jarir.com/sa-en/msi-summit-13-2-in-1-laptops-650278.html,Yes,Yes,
Intel Core Ultra 9,5.5 GHz,NVIDIA GeForce RTX 5080 (16 GB),64 GB RAM,2000 GB,18999,15999.0,15%,08-3RD12Y2,msi-raider-18-hx-laptops-650224.html,Windows 11 Pro,64 bit,Intel AI Boost,AI Enabled,Wi-Fi/Bluetooth,HDMI 2.1 (8K@60Hz/4K@120Hz)/USB 3.2/USB-C (Thunderbolt 5/DisplayPort)/RJ-45,Raider,Gaming Laptop,Black,40.40 cm ( 15.91 in ),32.05 cm ( 12.62 in ),30.75 cm ( 12.11 in ),5.47,"18""",2025,UHD+ Mini-LED 120 Hz Display,3840 X 2400,"Nahimic Sound, (2 X 2W + 4 X 2W) Speakers",Per-key RGB Backlit Keyboard,FHD IR Camera,VR Enabled,https://www.jarir.com/sa-en/msi-raider-18-hx-laptops-650224.html,,,
,,,6 GB RAM,128 GB,1099,,,HQ-ASPY2,huawei-matepad-11-5-tablet-pc-659580.html,HarmonyOS 4.2,,,,Wi-Fi/Bluetooth,USB-C,Huawei MatePad,Wi-Fi Tablet PC,Grey,26.09 cm ( 10.27 in ),17.68 cm ( 6.96 in ),.69 cm ( .27 in ),0.68,"11.5""",2024,2.2K 120 Hz IPS-LCD Touchscreen,,4 Stereo Speakers/2 Mic,,Rear: 13 MP/Front: 8 MP,,https://www.jarir.com/sa-en/huawei-matepad-11-5-tablet-pc-659580.html,,,Wi-Fi
M1,,7-core GPU,8 GB RAM,256 GB,4699,2599.0,44%,25-ASP12Y2,apple-macbook-air-laptops-558437.html,macOS Big Sur,,16-core Neural Engine,Apple Intelligence,Wi-Fi/Bluetooth,USB-C (Thunderbolt 3),Apple MacBook Air,Laptop,Grey,30.41 cm ( 11.97 in ),21.24 cm ( 8.36 in ),1.61 cm ( .63 in ),2.43,"13.3""",2020,Retina Display,2560 X 1600 (WQXGA),Built-in Mic/Speakers,,720p FaceTime HD Camera,,https://www.jarir.com/sa-en/apple-macbook-air-laptops-558437.html,,,
AMD Ryzen 9,2.0 GHz,Integrated AMD,32 GB RAM,1000 GB,7299,4999.0,31%,26-ASP12Y2,lenovo-yoga-pro7-laptops-636692.html,Windows 11 Home,64 bit,AMD Ryzen AI up to 50 TOPS,AI Enabled,Wi-Fi (6E)/Bluetooth (5.3),HDMI 2.1/USB 3.2/USB-C 3.2/Thunderbolt 4/3.5 mm Combo Jack,Lenovo Yoga,Laptop,Grey,22.65 cm ( 8.92 in ),32.55 cm ( 12.81 in ),1.66 cm ( .65 in ),2.2,"14.5""",2024,2.8K OLED Display,2880 X 1800 (OLED),,,FHD 1080p with E-shutter,,https://www.jarir.com/sa-en/lenovo-yoga-pro7-laptops-636692.html,,,
